method,season,accuracy,total,over,under
e,2007,70.5202,692,76,128
m,2007,72.4605,443,73,49
p,2007,75.0,44,8,3
e,2008,73.0044,689,71,115
m,2008,75.0567,441,65,45
p,2008,71.4286,42,6,6
e,2009,74.2733,688,68,109
m,2009,74.6725,458,73,43
p,2009,70.5882,34,4,6
e,2010,72.9378,691,78,109
m,2010,77.7559,508,72,41
p,2010,67.3469,49,3,13
e,2011,72.7931,691,72,116
m,2011,75.3304,454,68,44
p,2011,63.8298,47,7,10
e,2012,72.5852,704,77,116
m,2012,78.9883,514,74,34
p,2012,71.7391,46,6,7
e,2013,76.5778,713,60,107
m,2013,76.7742,465,61,47
p,2013,57.4468,47,7,13
e,2014,72.2376,724,87,114
m,2014,74.2204,481,86,38
p,2014,66.0377,53,5,13
e,2015,74.9656,727,77,105
m,2015,80.4688,512,60,40
p,2015,58.3333,48,9,11
e,2016,70.6371,722,82,130
m,2016,76.2745,510,78,43
p,2016,65.2174,46,5,11
e,2017,70.4607,738,86,132
m,2017,75.914,465,64,48
p,2017,63.8298,47,4,13
e,2018,73.4332,734,73,122
m,2018,74.397,539,70,68
p,2018,68.75,48,5,10
e,2019,72.1088,735,72,133
m,2019,74.7485,994,141,110
p,2019,72.093,43,2,10
e,2020,71.4567,508,57,88
m,2020,74.928,347,46,41
p,2020,74.2857,35,4,5
e,2021,71.4865,740,89,122
m,2021,72.3887,1101,179,125
p,2021,55.0,40,5,13
e,2022,67.4387,734,104,135
m,2022,74.0608,1118,176,114
p,2022,52.9412,51,7,17
e,2023,72.5333,750,79,127
m,2023,74.2364,753,118,76
p,2023,88.2353,34,2,2
